variable	EnvSeason	aminoglycoside	bacitracin	beta_lactam	chloramphenicol	ExSepctra	macrolide-lincosamide-streptogramin	multidrug	pipetide_antibiotics	quinolone	rifamycin	sulfonamide	tetracycline
Sum.LTPair05	Air.Sum	0.253944593197845	0.1038901643758	0.0217508742978527	0.0759953888468081	0.0298541179999393	0.0484376781803208	0.204738634379758	0.0479652644381592	0.016474419999568	0.0169314948453058	0.0972096956099069	0.0127214307425982
Sum.LTPair06	Air.Sum	0.15630227000364	0.0654965255756499	0.0161418364160218	0.0549087976047101	0.0250868442661864	0.0412703960106491	0.145895567954938	0.0404078198442105	0.0108156438056255	0.020694486610756	0.0702998855491904	0.0345363933064902
Sum.OBair01	Air.Sum	0.124976197070822	0.149707014198146	0.061630227558299	0.0100416390453342	0.015620857836624	0.0821983689326259	0.252170461048823	0.0351440791034853	0.0141786855213362	0.0198665844800123	0.0539259796420082	0.0326142505412561
Sum.OBair02	Air.Sum	0.0606235873736184	0.121371471705772	0.0251933073686902	0.0139510941812059	0.0290879835114148	0.0620781896889399	0.178538290092564	0.0413426635995792	0.0064910543822735	0.0125378043769719	0.0297733727159175	0.0442954702120583
Sum.OBair03	Air.Sum	0.221922848361383	0.15502215343116	0.11505908683922	0.0630947964551006	0.0153619259070021	0.0741096696440373	0.201070052094691	0.0355972366307073	0.00774493696907605	0.0147880786164439	0.167195377636595	0.0692917333924882
Sum.OBair04	Air.Sum	1.92723367170965	0.0573853429965655	0.678444466896522	0.0113391992708763	0.110765131494485	0.225090098865686	2.41752258126404	0.111156561944698	0.259206916798125	0.000728834227384443	0.0115607480208572	0.00209711055902566
Sum.OBair05	Air.Sum	0.920946195660768	0.273914580940153	0.0223567373123275	0.329393536068132	0.0326630578016523	0.084514230975824	0.753904319132762	0.185832745315604	0.0651090493233011	0.0204253539785569	0.393895223154621	0.0369605793628343
Sum.OBair06	Air.Sum	0.690579681819481	0.234164079598839	0.0337095881949141	0.208385529926583	0.0221262783677388	0.195508765067158	0.543010771854301	0.125571639976909	0.0461438388135919	0.00671249689925742	0.291339505343497	0.0352241535905872
Sum.TSwLTPcj	Swab.Sum	0.00283927574342915	0.0104480006942144	0.048037018955343	0.0021308172838981	0.0607353248463036	0.490034642456013	0.416141126875956	0.00813640514392952	0	0	0.000113947599990718	0.175844530919203
Sum.TSwLTPhww	Swab.Sum	0.00149469412241802	0.009124089871687	0.0553076034770699	0.00166932375857519	0.0641016686802555	0.62890302260425	0.5561541262462	0.0107134224695525	0.000186221308485261	0.00015514966798772	0.000152556186517961	0.22749373271401
Sum.TSwLTPjyc	Swab.Sum	0.000441072439255473	0.00896017893439663	0.126952994605733	0.00374305219718789	0.0179160745283283	0.555145064141045	0.33339902180224	0.0224033085002601	0	3.58777152802089e-05	0.000319346638911059	0.320983671182498
Sum.TSwLTPlm	Swab.Sum	0.00375429369289856	0.0122382617394669	0.0560727487845483	0.00131099546025874	0.0655972099162361	0.366687979003703	0.392147314287751	0.00952873911261675	0.000115833185026636	0	6.9038257017687e-05	0.149716170563589
